10 g monofilament test | ['Concept']
inadequate insulin production | ['Symptom']
increased red blood cell turnover | ['Concept']
infection | ['Disease']
injectable antihyperglycemic medication | ['Drug']
insufficient insulin production | ['Symptom']
insulin autoantibodies | ['Biomarker']
insulin deficiency | ['Disease']
insulin doses based on blood glucose levels | ['Concept']
insulin glargine | ['Drug']
insulin icodec | ['Drug']
insulin injection | ['Concept']
insulin isophane | ['Drug']
insulin lispro | ['Drug']
insulin pump | ['Concept']
insulin pump therapy | ['Concept']
insulin replacement | ['Concept']
insulin resistance | ['Symptom']
intake of oats during infancy | ['Concept']
intensive control of plasma glucose | ['Concept']
intensive treatment | ['Concept']
intermediate-acting insulin | ['Concept']
intermittently scanned continuous glucose monitoring | ['Concept']
intracellular shifts of potassium | ['Concept']
intravenous insulin administration | ['Concept']
islet cell antibody | ['Biomarker']
islet cell autoantibodies | ['Biomarker']
labile plasma glucose levels | ['Symptom']
lactic acidosis | ['Disease']
lanolin | ['Drug']
large vessels | ['Concept']
less frequent treatment | ['Concept']
linagliptin | ['Drug']
lipid levels | ['Concept']
lipid profile testing | ['Concept']
long-acting medications | ['Drug']
long-term complications | ['Disease']
low red blood cell turnover | ['Concept']
lubricant | ['Drug']
macrovascular complications | ['Disease']
major surgery | ['Concept']
maximally tolerated statin | ['Drug']
mental status changes | ['Symptom']
metformin | ['Drug']
microvascular complications | ['Disease']
mixing insulins | ['Concept']
moderate aerobic activity | ['Concept']
more intensive insulin regimen | ['Concept']
morning hyperglycemia | ['Symptom']
neuropathic foot ulcers | ['Disease']
neuropathic joint | ['Disease']
nocturnal hypoglycemia | ['Symptom']
normal plasma glucose | ['Concept']
orthopedic devices | ['Concept']
orthotic protection | ['Concept']
pancreatic islet cells transplantation | ['Concept']
patient education | ['Concept']
patients at risk of acidemia | ['Concept']
patients with diabetes | ['Disease']
patients with hemoglobin variants | ['Disease']
patients with type 1 diabetes | ['Disease']
patients with type 1 diabetes who have chronic kidney disease | ['Concept']
patients with type 1 diabetes who have hypertension | ['Concept']
peripheral neuropathy | ['Disease']
permanent neurologic disability | ['Symptom']
pernicious anemia | ['Disease']
persistent albuminuria | ['Concept']
pharmacologic therapy | ['Concept']
physical activity | ['Concept']
pinprick testing | ['Concept']
pioglitazone | ['Drug']
point-of-care fingerstick glucose monitoring | ['Concept']
polyphagia | ['Symptom']
poor glycemic control | ['Symptom']
postprandial glucagon secretion | ['Concept']
postprandial glucose excursions | ['Concept']
postprandial glucose lowering | ['Concept']
postprandial glucose spikes | ['Concept']
pramlintide | ['Drug']
pregnancy | ['Concept']
proprotein convertase subtilisin/kexin type 9 (PCSK-9) inhibitor | ['Drug']
rapid- or short-acting insulin | ['Drug']
rapid-acting insulin | ['Drug']
real-time continuous glucose monitoring | ['Concept']
reduced glomerular filtration rate | ['Concept']
reduction in loss of glucose in urine | ['Concept']
relative insufficiency of insulin | ['Symptom']
removal of pancreas | ['Concept']
rosiglitazone | ['Drug']
rosuvastatin | ['Drug']
rotating injection sites | ['Concept']
saxagliptin | ['Drug']
semaglutide | ['Drug']
sensor-augmented insulin pump therapy | ['Concept']
shorter-acting insulin | ['Drug']
sitagliptin | ['Drug']
sliding-scale insulin | ['Concept']
small vessels | ['Concept']
small, dense LDL cholesterol | ['Concept']
sodium glucose cotransporter 2 inhibitors | ['Drug']
stem-cell derived islet cell preparation | ['Drug']
stem-cell derived islet cell preparations | ['Concept']
strokes | ['Disease']
subcutaneous insulin administration | ['Concept']
sucrose | ['Nutrient']
sulfonylureas | ['Drug']
susceptibility genes to type 1 diabetes mellitus outside the MHC | ['Biomarker']
switching from animal to human insulin | ['Concept']
symptoms of hypoglycemia | ['Symptom']
temperature testing | ['Concept']
teplizumab | ['Drug']
tirzepatide | ['Drug']
transient ischemic attacks | ['Disease']
troglitazone | ['Drug']
typical symptoms | ['Symptom']
ulcers | ['Symptom']
undetected hyperglycemia | ['Symptom']
variability in glucose levels | ['Concept']
variability of effect | ['Symptom']
vascular complications | ['Disease']
vibration testing | ['Concept']
vigorous aerobic activity | ['Concept']
vitamin B12 malabsorption | ['Symptom']
walking barefoot | ['Concept']
weekly insulin | ['Concept']
worsening of insulin secretion | ['Symptom']
zimislecel | ['Drug']
≥ 2 islet autoantibodies | ['Biomarker']
